Zip Code (CEP),City,State,Centroid Latitude,Centroid Longitude
87323,Mamborê,PR,-24.2331,-52.5273
73081,Brasília (Sobradinho),DF,-15.6705,-47.8118
28160,Campos dos Goytacazes,RJ,-21.9404,-41.4883
83252,Paranaguá (Ilha dos Valadares),PR,-25.5283,-48.5007
71551,Brasília (Lago Norte / Taquari),DF,-15.7001,-47.8543
64605,Picos,PI,-7.0782,-41.4533
71676,Brasília (Lago Sul),DF,-15.8647,-47.8445
70701,Brasília (Asa Norte - SHN),DF,-15.7891,-47.8872
72863,Novo Gama,GO,-16.0592,-48.0314
72268,Ceilândia,DF,-15.8115,-48.1362
72005,Taguatinga,DF,-15.834,-48.0441
72300,Samambaia,DF,-15.8752,-48.0864
70686,Brasília (Cruzeiro / Sudoeste),DF,-15.8005,-47.9254
59299,São Gonçalo do Amarante,RN,-5.7925,-35.3283
73401,Planaltina,DF,-15.6214,-47.6521
62898,Paraipaba,CE,-3.4402,-39.1481
83843,Fazenda Rio Grande,PR,-25.6601,-49.3054
71810,Brasília (Riacho Fundo I),DF,-15.8821,-48.0175
07729,Caieiras,SP,-23.3644,-46.7441
06930,São Lourenço da Serra,SP,-23.8552,-46.945
12332,Jacareí,SP,-23.3051,-45.9654
71590,Brasília (Varjão),DF,-15.719,-47.8732
72596,Santa Maria,DF,-16.0125,-48.0084
71884,Samambaia (Expansão),DF,-15.8911,-48.1154
07412,Arujá,SP,-23.3951,-46.3214
41347,Salvador,BA,-12.9015,-38.4114
72821,Luziânia,GO,-16.2524,-47.9515
70716,Brasília (Asa Norte - SCRN),DF,-15.7611,-47.8934
75784,Rio Quente,GO,-17.7741,-48.7732
71593,Brasília (Itapoã),DF,-15.7314,-47.7812
93602,Estância Velha,RS,-29.6454,-51.1731
76968,Cacoal,RO,-11.4341,-61.4424
78554,Sinop,MT,-11.8512,-55.5142
29718,São Domingos do Norte,ES,-19.1311,-40.6315
71574,Brasília (Paranoá),DF,-15.7712,-47.7751
73310,Planaltina (Vila Buritis),DF,-15.6114,-47.6741
72457,Gama,DF,-16.0212,-48.0645
73082,Brasília (Sobradinho II),DF,-15.6514,-47.8315
72535,Santa Maria (SUL),DF,-16.0254,-48.0142
28575,Itaocara,RJ,-21.6711,-42.0735
55863,Macaparana,PE,-7.5512,-35.4514
76897,Jaru,RO,-10.4354,-62.4651
68511,Parauapebas,PA,-6.0654,-49.9012
72536,Santa Maria (Norte),DF,-16.0014,-48.0112
72002,Taguatinga Centro,DF,-15.8312,-48.0561
29196,Aracruz,ES,-19.8214,-40.2741
70333,Brasília (Asa Sul - SQS),DF,-15.8112,-47.8974
71971,Águas Claras,DF,-15.8402,-48.0284
72595,Santa Maria (Rural),DF,-16.0341,-47.9854
28120,Campos dos Goytacazes (Santo Eduardo),RJ,-21.2215,-41.4812
72242,Ceilândia Sul,DF,-15.8241,-48.1154
73272,Planaltina (Vale do Amanhecer),DF,-15.6354,-47.6112
72023,Taguatinga Sul,DF,-15.8512,-48.0411
71919,Águas Claras (Sul),DF,-15.8454,-48.0215
72341,Samambaia Norte,DF,-15.8654,-48.0951
71953,Recanto das Emas,DF,-15.9012,-48.0641
72017,Taguatinga Norte,DF,-15.8154,-48.0651
73255,Planaltina (Arapoanga),DF,-15.6412,-47.7014
36596,Viçosa,MG,-20.7541,-42.8812
85894,Santa Helena,PR,-24.8541,-54.3312
72237,Ceilândia Centro,DF,-15.8151,-48.1114
25919,Magé,RJ,-22.6514,-43.0412
57254,Campo Alegre,AL,-9.7812,-36.3514
87511,Umuarama,PR,-23.7641,-53.3214
35408,Ouro Preto,MG,-20.3812,-43.5014
28530,Carmo,RJ,-21.9341,-42.6051
56485,Tacaratu,PE,-9.1054,-38.1451
36857,Espera Feliz,MG,-20.6512,-41.9054
71539,Brasília (Lago Norte Sector),DF,-15.7411,-47.8651
72760,Brazlândia,DF,-15.6711,-48.2014
85118,Guarapuava,PR,-25.3951,-51.4641
73088,Brasília (Sobradinho Rural),DF,-15.6012,-47.8015
28388,Bom Jesus do Itabapoana,RJ,-21.1412,-41.6741
28617,Nova Friburgo,RJ,-22.2854,-42.5312
17390,Brotas,SP,-22.2841,-48.1251
83210,Paranaguá Centro,PR,-25.5214,-48.5112
72280,Ceilândia (Setor P Norte),DF,-15.8012,-48.1415
36248,Santos Dumont,MG,-21.4551,-43.5512
08342,São Paulo,SP,-23.5954,-46.4312
73369,Planaltina (Estâncias),DF,-15.5812,-47.6654
72238,Ceilândia (QNM Sector),DF,-15.8211,-48.1054
65137,Paço do Lumiar,MA,-2.5254,-44.1012
86135,Cambé,PR,-23.2751,-51.2741
43870,Candeias,BA,-12.6712,-38.5451
35242,Conselheiro Pena,MG,-19.1712,-41.4741
72587,Santa Maria (QR Sector),DF,-16.0211,-48.0014
72583,Santa Maria (CL Sector),DF,-16.0154,-48.0054
61906,Maracanaú,CE,-3.8741,-38.6214
72465,Gama (Setor Oeste),DF,-16.0312,-48.0754
75257,Bela Vista de Goiás,GO,-16.9712,-48.9514
72867,Novo Gama (Lunabel),GO,-16.0714,-48.0451
72427,Gama (Setor Central),DF,-16.0154,-48.0551
07430,Arujá (Industrial),SP,-23.4112,-46.3451
86996,Marialva,PR,-23.4841,-51.7912
11547,Cubatão,SP,-23.8854,-46.4214
71591,Brasília (Paranoá Parque),DF,-15.7614,-47.7854
72440,Gama (Setor Leste),DF,-16.0214,-48.0451
73091,Brasília (Sobradinho III),DF,-15.6412,-47.8114
41098,Salvador (Subúrbio),BA,-12.8754,-38.4812
58734,Teixeira,PB,-7.2214,-37.2514
25840,Tres Rios,RJ,-22.1154,-43.2014
72243,Ceilândia (P Sul),DF,-15.8341,-48.1312
38710,Lagoa Formosa,MG,-18.7812,-46.4014
12770,Arapeí,SP,-22.6714,-44.4512
62625,Uruburetama,CE,-3.6214,-39.5012
67105,Ananindeua,PA,-1.3654,-48.3812
95572,Mampituba,RS,-29.2114,-49.9312
42843,Camaçari,BA,-12.7012,-38.3214
07784,Cajamar,SP,-23.3514,-46.8741
27980,Macaé (Sana),RJ,-22.3154,-42.1812
71208,Brasília (SIA - Industrial),DF,-15.7954,-47.9512
39103,Diamantina,MG,-18.2414,-43.6012
70702,Brasília (Asa Norte - SRTVN),DF,-15.7854,-47.8912
72549,Santa Maria (QR 300),DF,-16.0251,-48.0084
72904,Santo Antônio do Descoberto,GO,-15.9414,-48.2514
71993,Águas Claras (Areal),DF,-15.8614,-48.0112
73093,Brasília (Fercal),DF,-15.5814,-47.8812
08980,Salesópolis,SP,-23.5312,-45.8414
72338,Samambaia (QN Sector),DF,-15.8812,-48.0814
73391,Planaltina (Jardim Roriz),DF,-15.6054,-47.6812
71995,Arniqueira,DF,-15.8654,-48.0014
77404,Gurupi,TO,-11.7254,-49.0612
85958,Palotina,PR,-24.2814,-53.8412
64095,Teresina,PI,-5.1312,-42.7714
19740,Borá,SP,-22.2714,-50.5312
37005,Varginha,MG,-21.5514,-45.4312
44135,Santo Estêvão,BA,-12.4314,-39.2514
28655,Cordeiro,RJ,-22.0214,-42.3612
73402,Planaltina (Vila Vicentina),DF,-15.6251,-47.6614
49870,Canindé de São Francisco,SE,-9.6414,-37.7812
71975,Águas Claras (Vila Telebraslia),DF,-15.8251,-47.9312
71261,Brasília (SCIA / Estrutural),DF,-15.7814,-48.0012
55027,Caruaru,PE,-8.2814,-35.9712
58286,Duas Estradas,PB,-6.7114,-35.4012
71976,Vicente Pires,DF,-15.8114,-48.0112
72455,Gama (Setor Sul),DF,-16.0354,-48.0612
73090,Brasília (Sobradinho Housing),DF,-15.6554,-47.8012
29949,São Mateus,ES,-18.7114,-39.8512
64047,Teresina (Zona Leste),PI,-5.0914,-42.7912
42716,Lauro de Freitas,BA,-12.8914,-38.3312
70324,Brasília (Asa Sul - SBS),DF,-15.7984,-47.8931
48504,Euclides da Cunha,BA,-10.5114,-39.0112
94370,Fagundes Varela,RS,-28.9814,-51.7012
71698,São Sebastião,DF,-15.9014,-47.7712
95853,Vale Verde,RS,-29.7514,-52.1412
02140,São Paulo (Vila Maria),SP,-23.5114,-46.5812
59547,Caiçara do Norte,RN,-5.0614,-36.0612
71996,Águas Claras (SHA Sector),DF,-15.8554,-47.9812
84623,Cruz Machado,PR,-26.0114,-51.3412
70316,Brasília (Asa Sul - Centro),DF,-15.8014,-47.8854
35104,Governador Valadares,MG,-18.8514,-41.9412
65830,Sambaíba,MA,-7.1314,-45.4112
56327,Petrolina,PE,-9.3814,-40.5012
02285,São Paulo (Jardim Cachoeira),SP,-23.4561,-46.5824
37708,Poços de Caldas,MG,-21.7954,-46.5599
82040,Curitiba (Santa Felicidade Sector),PR,-25.4011,-49.3242
72580,Brasília (Condomínio Residencial Santa Maria),DF,-16.0182,-48.0034
91901,Porto Alegre (Tristeza / Vila Assunção),RS,-30.1012,-51.2454
68629,Paragominas,PA,-2.9961,-47.3512
13307,Itu (Pirapitingui Sector),SP,-23.3644,-47.2884
71905,Águas Claras,DF,-15.8391,-48.0254
36956,Mutum (São Francisco do Humaitá),MG,-19.8142,-41.5123
38627,Cabeceira Grande (Palmital de Minas),MG,-16.0354,-47.1124
